资产编号,资产名称,类别,品牌,型号,序列号,购入日期,购入价格,所属部门,存放地点,使用人,状态,备注
PC-001,联想笔记本电脑,电脑,联想,ThinkPad X1 Carbon,X1C-2024-001,2024-01-15,9999.00,研发部,3楼301室,张三,在用,
PC-002,戴尔台式机,电脑,戴尔,OptiPlex 7010,OPT-2024-002,2024-02-20,5999.00,财务部,2楼205室,李四,在用,
PC-003,苹果笔记本,电脑,苹果,MacBook Pro 14,MBP-2023-003,2023-11-10,14999.00,设计部,4楼402室,王五,在用,
PC-004,华硕笔记本,电脑,华硕,ZenBook 14,ZB-2024-004,2024-03-05,6999.00,市场部,5楼501室,赵六,在用,
PC-005,备用电脑,电脑,联想,ThinkPad E14,E14-2023-005,2023-06-20,4599.00,IT部,1楼机房,,闲置,备用设备
PC-006,惠普台式机,电脑,惠普,ProDesk 400,PD-2024-006,2024-01-30,4299.00,行政部,2楼201室,孙七,在用,
PC-007,待维修电脑,电脑,戴尔,Latitude 5420,LAT-2022-007,2022-08-15,5500.00,研发部,维修间,,维修中,键盘故障
BADGE-001,员工工牌-张三,工牌,得力,标准款,工牌001,2024-01-10,25.00,研发部,3楼301室,张三,在用,
BADGE-002,员工工牌-李四,工牌,得力,标准款,工牌002,2024-02-15,25.00,财务部,2楼205室,李四,在用,
BADGE-003,员工工牌-王五,工牌,得力,标准款,工牌003,2023-11-05,25.00,设计部,4楼402室,王五,在用,
BADGE-004,员工工牌-赵六,工牌,得力,标准款,工牌004,2024-03-01,25.00,市场部,5楼501室,赵六,在用,
BADGE-005,员工工牌-孙七,工牌,得力,标准款,工牌005,2024-01-20,25.00,行政部,2楼201室,孙七,在用,
BADGE-006,访客工牌,工牌,得力,访客款,访客001,2023-05-10,15.00,行政部,前台,,闲置,
BADGE-007,离职员工工牌,工牌,得力,标准款,工牌007,2022-03-01,25.00,人力资源部,仓库,,闲置,待注销
OF-001,打印机,办公设备,惠普,LaserJet Pro M404dn,PRT-001,2023-09-20,2999.00,行政部,2楼打印区,,在用,
OF-002,投影仪,办公设备,爱普生,CB-X49,PRJ-001,2022-12-01,3599.00,行政部,会议室A,,在用,
OF-003,碎纸机,办公设备,科密,C-838T,SHR-001,2023-04-15,899.00,财务部,2楼财务室,,在用,
OF-004,办公椅A,办公设备,震旦,人体工学椅,CHAIR-001,2024-02-10,1599.00,研发部,3楼301室,张三,在用,
OF-005,办公桌A,办公设备,震旦,1.4米办公桌,DESK-001,2024-02-10,899.00,研发部,3楼301室,张三,在用,
OF-006,文件柜,办公设备,虎牌,三门文件柜,CAB-001,2023-01-20,699.00,研发部,3楼资料室,,在用,
OF-007,旧投影仪,办公设备,明基,MS527,PRJ-002,2019-06-15,2800.00,行政部,仓库,,闲置,待报废
OF-008,空调,办公设备,格力,KFR-72LW,AC-001,2022-05-30,5999.00,研发部,3楼301室,,在用,
OF-009,饮水机,办公设备,美的,YR1225S-W,WD-001,2023-03-10,299.00,行政部,3楼茶水间,,在用,
OF-010,扫描仪,办公设备,佳能,DR-C225II,SCAN-001,2023-07-20,1999.00,财务部,2楼财务室,,在用,
